Product,Description,Alternates,Onhand,Condition
RV6NAYSA103A,POTENTIOMETER 10K 2W,,2,2
CAB-7513AC,POWER CORD,,2,2
9080LBC163206,POWER DISTRIBUTOR,,6,6
PS2-2/NF,POWER DIVIDER,,2,2
T1000SMA,POWER DIVIDER,T-1000SMA,1,1
811580-205,PRESSURE PLATE,,4,4
812585-1,PROFILE,,3,3
3729,PROTECTOR CLEAR,,100,100
160151-1,PUMP FILTER,,12,12
1886242-3,PUSH BUTTON,E1886242-3,10,10,,5930-01-337-6208,,
800-556,PUSH BUTTON,801-556,115,115,,5930-01-327-8386,,
C22-0,PUSH BUTTON SWITCH,,15,15
10250T5J63-1X,PUSHBUTTON,,1,1
B20131,PUSHBUTTON SWITCH,266-0198-010,77,77
P1-10076,PUSHBUTTON SWITCH 10AMP,5930-01-335-1960,16,16,,STD959-52,,
P1-11111,PUSHBUTTON SWITCH 10AMP,218-001112-00,20,20,,9021990417-2,,
P1-11122,PUSHBUTTON SWITCH 10AMP,,35,35
P1-13112,PUSHBUTTON SWITCH 10AMP,218-001139-00,30,30,,9021490209-1,,
P1-31611,PUSHBUTTON SWITCH 10AMP,5930-01-622-5103,11,11
P1-60038,PUSHBUTTON SWITCH 10AMP,5M3132-1,34,34
P1-82222,PUSHBUTTON SWITCH 10AMP,MS25089-2H,6,6,,5930-00-471-2003,,
P1-90010,PUSHBUTTON SWITCH 10AMP,218-001087-00,5,5
143912,RACE,3110-00-410-1007,45,45
812209-3,RACK,,6,6
TJT701012,RACK ASSY,M81714/5-10,1,1,,M81714/5-10,,
CTJ-3B-06,RAIL ASSY,,1,1
A182-000399-00,RAIL ACCESSORY AIRCRAFT,1680-01-605-6620,4,4
815944-3,RAMP,,1,1
840803-403A,REAR TR,1894128,25,25
819217-401,RECEIVER,,15,15
GF1M1FBSCL-50,RECEPTACL CONNECTOR,5935-01-332-8411,100,100
205205-7,RECEPTACLE,,134,134
244-16,RECEPTACLE,,16,16
26R16-1,RECEPTACLE,,52,52
65003-06N,RECEPTACLE,,36,36
650FS001NF15,RECEPTACLE,ST5M1402-15,100,100
738W-X2/03,RECEPTACLE,,28,28
78-1080-2670A,RECEPTACLE,,23,23
BACR11Y3C,RECEPTACLE,,20,20
5362-W,RECEPTACLE DUPLEX,,3,3
5878C,RECEPTACLE FLANGED INLET,,3,3
MS22032-1,RECHARGER ASSEMBLY,,6,6
GBPC604,RECTIFIER,,12,12
SD845,RECTIFIER,,4,4
3325X6X2,REDUCER,,4,4
800-561,REGULATOR,,2,2
LM317T,REGULATOR 3-TERMINAL ,,4,4
3SAF5062H1,RELAY,,5,5
3SBC5008K1,RELAY,,2,2
49-2670,RELAY,MS27243-4,1,1
5004-B,RELAY,AN3324-1,2,2
6041H105,RELAY,E045564,11,11
7264-4654,RELAY,MS24171-D1,1,1
9226-4429,RELAY,MS25329-D1,1,1
9229-4457,RELAY,MS25395-D1,1,1
A-702AAP,RELAY,,2,2
A110-000045-01,RELAY,,3,3
A410-154555-00,RELAY,MS25035-1,42,42,,5945-00-283-6538,,
A420-064121-00,RELAY,60B50311-1,1,1
A420-066923-02,RELAY,,898,898
CX3927,RELAY,M6106/4-001,2,2,,CX-3927,,
ES2050402BGL,RELAY,M83536/2-024L,2,2,,SUPERCEDES M6106/27-022,,,,M6106/27-022,,
ES2050404BGM,RELAY,M83536/2-028M,4,4
GRF172D-26,RELAY,,2,2
JMSPD-26XM,RELAY,M39016/16-028M,1,1
K-D2A-003,RELAY,MS27400-9,1,1,,ES6210-01,,
K-J2A-300M,RELAY,M83536/15-024M,1,1
SE210-1001,RELAY,M12883/41-06,2,2
SO-1064-001,RELAY,S30604-1,2,2
49-2667,RELAY COVER,MS27243-3,2,2
316-222-194,RELAY SOCKET,M39029/101-552,14,14
RSE116432,RELAY SOCKET,120-118-2,52,52,,5935-01-442-8089,,
RSE120159,RELAY SOCKET,M12883/45-01,10,10,,M12883/45-01,,
RSL116051-S,RELAY SOCKET,M12883/40-07S,1,1
RSN116890,RELAY SOCKET,NOT QPL MS25328-4,1,1
RST145005,RELAY SOCKET,5945-01-407-1572,7,7,,M12883/53-001,,
RSE116185,RELAY SOCKET W CONTACTS,M12883/52-002,148,148
6041H200,RELAY ELECTROMAGNETIC,MS24166-D1,4,4,,5945-00-686-6877,,
6041H202,RELAY ELECTROMAGNETIC,AN3370-1,26,26,,MS24171-D2,,,,226987,,,,5945-01-297-5913,,,,97274,,
6042H166,RELAY ELECTROMAGNETIC,MS24182-D1,3,3,,918693C1,,,,5945-00-681-8188,,,,3720-33292,,,,6042H166-2,,
SE310-2,RELAY SOCKET,M12883/52-003,6,6
SM15AWD3,RELAYELECTROMAGNETIC,M6106/10-005,5,5,,5945-01-120-8774,,
820-8-A1C2E2J3L2N2(YR)18,RESET/LOCOP LOCKUP,12892193,1,1
3059L1-104,RESISTOR,,13,13
704-15K36,RESISTOR,,1,1
AN3155-25-25,RESISTOR,,1,1
AN3155-50-50,RESISTOR,,1,1
H-250-F2-352,RESISTOR,VTC3173255,5,5
K1371,RESISTOR,C10996-1-102C,66,66
M8340108K1000FG,RESISTOR,,19,19
MFR-25FBF-169R,RESISTOR,,1,1
P942-1,RESISTOR,RV2BYFD253A,98,98
PRN110201000J,RESISTOR,,22,22
RER60F1000RC02,RESISTOR,,6,6
RJ12FL104,RESISTOR,,6,6
243-000054-00,RESISTOR VARIABLE,5905-00-064-9215,1,1
140732,RESTRICTOR,,55,55
144714-1,RETAINER,,4,4
144792,RETAINER,,3,3
145184-1,RETAINER,1801758,1,1
147794,RETAINER,,3,3
156442,RETAINER,,9,9
801549,RETAINER,1680-01-151-5240,1,1
813057-10,RETAINER,,1,1
813057-13,RETAINER,,2,2
813057-9,RETAINER,,3,3
813314-14,RETAINER,,1,1
821599-1,RETAINER,,4,4
MS28773-04,RETAINER,,102,102
S12603-221N,RETAINER,,12,12
A182-000397-00,RETAINER & GUARD ASSY,1680-01-455-7455,20,20
24170-250A,RETAINER ASSEMBLY,,2,2
ST1543-1,RETAINER CONNECTOR,5935-01-532-4785,33,33
ST1543-2,RETAINER ELECTRICAL,5935-01-532-6039,88,88
820-502,RETAINER LENS,,11,11
141894,RETAINER PU,1897509,3,3,,4510-01-178-2700,,
158734-1,RETAINERP,,2,2
140362,RETAINER/SL,1899999,4,4
815254-3,REV C2 SPRING,,1,1
EW25R1-352,RHEOSTAT,,1,1
M22/01-00131UB,RHEOSTAT,,5,5
M22/01-00231UB,RHEOSTAT,,3,3
149462,RIDER,,93,93
144714-3,RING,,1,1
146682,RING,,2,2
148325,RING,,3,3
160152,RING,,15,15
MS9484-06,RING,,1,1
S10105-08,RING,,24,24
S10105-12,RING,,10,10
S12587-114,RING,,7,7
S12257-26,RING SET,,14,14
5144-21-H,RING TRU-ARC,,122,122
5144-37H,RING TRU-ARC,,16,16
S11065-11,RING WIPER,,14,14
S33562,RING WIPER,,1,1
149104,RINGREINFORCED,,3,3
5100-39C,RINGRETAINER,,5,5
KS596,RING-FASTEX,,63,63
807995-407,RISER A,,3,3
110-223-5-1,RIVET,110-223-05-01,20,20
146902,RIVET,,15,15
CR2539P5-11,RIVET,NAS1738MW5-11,350,350
MS20600AD6W6,RIVET,,50,50
MS20600AD8W9,RIVET,,75,75
NAS1054-4-2,RIVET,,10,10
1TP1-3,ROCKER SWITCH,,6,6
53-2161-4,ROCKER SWITCH,,7,7
806958-3,ROD,,3,3
837187-7,ROD,,1,1
NAS354-5-200,ROD CONTROL,,8,8
809262-403,ROD SPR,,3,3
75438,ROLLER,,1,1
815042-5,ROLLER,,11,11
815054-11,ROLLER,,7,7
815054-9,ROLLER,,5,5
3600-7614,ROTARY SWITCH,,6,6
3900-7676,ROTARY SWITCH,,5,5
3900-7677,ROTARY SWITCH,,18,18
3900-7678,ROTARY SWITCH,,18,18
53-2405,ROUND CAP,266-0198-020,98,98
SPA9506-01B-A-1.50,RTD DIN PLATINUM,,2,2
828588-1C,RUB STRIP,,10,10
821875-19A,RUBSTR,,2,2
MS35489-56,RUBBER GROMMET,,10,10
112151,RUBBER INSULATED CORE FLAT,,100,100
800-540-1-2-14,SAFETY COVER,TAS8899-9012-1-3,1,1
9166P-8,SCHRADER VALVE,411508-4,80,80,,9166-0060,,,,9166-0120,,
155692,SCRAPER,4510-00-255-2826,184,184
156134,SCRAPER,4510-00-463-7104,8,8
156142,SCRAPER,,35,35
656,SCREEN,,6,6
812499-51,SCREEN,,3,3
834010-401,SCREENLAV MOTOR,,15,15
148672,SCREW,,8,8
148732,SCREW,,86,86
148752,SCREW,,72,72
815007-11,SCREW,,1,1
815007-7,SCREW,,3,3
815012-3,SCREW,,15,15
AN515-6-34,SCREW,,25,25
LP500D6-7M,SCREW,NK500D6-7,276,276
LP51957-48M,SCREW,LP51957-48,14,14
LP51957-49M,SCREW,,21,21
LP51958-60M,SCREW,,61,61
MS27039-1-44,SCREW,,1,1
MS35206-227,SCREW,,15,15
NAS1191-04P4,SCREW,,6,6
NAS1202-4,SCREW,,4,4
NAS1244-10,SCREW,,4,4
NAS125L125,SCREW,,8,8
NAS1581A3R2,SCREW,,148,148
NAS606-32P,SCREW,,23,23
NK501D10-10,SCREW,,87,87
MS25332-1,SCREW & WASHER,,16,16
150482-1,SCREW PLATE,1895016,4,4
151452-1,SCREW PLATE,,27,27
MS90726-33,SCREW CAP HEXAGON HEAD,,542,542
MS90726-69,SCREW CAP HEXAGON HEAD,,28,28
152-000104-00,SCREW MACHINE,5305-01-209-7132,17,17,,152-000-104-00,,
148742,SCREWSOCKET,,39,39
LP16995-36M,SCREW-PAN HEAD,,430,430
141982,SEAL,,10,10
141992-9,SEAL,,9,9
143424-1,SEAL,,1,1
148802,SEAL,1470371,1,1
170142,SEAL,,18,18
BSR6,SEAL,,404,404
S12095-218,SEAL,BACS11AA218A,2,2
S30632-441,SEAL,,4,4
146235-1,SEAL DRAIN,,3,3
143242,SEALFLAT,,7,7
143422-1,SEALFLAT,,77,77
P6-20001,SEALED LIMIT SWITCH 4PDT,M8805/104-001,1,1,,5930-01-150-3601,,,,M8805/104-001,,
P6-24008,SEALED LIMIT SWITCH 4PDT,M8805/100-016,5,5,,5930-01-100-8531,,
MS27488-20,SEALING PLUG,,20,20
144704-1,SEAT DRAIN,,1,1
WAC2912-1,SEAT RING,,25,25
10A01,SEMICONDUCTOR,,55,55
1N4454,SEMICONDUCTOR,,3,3
LM117KSTEEL,SEMICONDUCTOR,,1,1
1N1341A,SEMICONDUCTOR DEVICE,5961-00-838-1151,25,25,,5961-00-892-3324,,,,5961-00-935-0138,,
1N3611,SEMICONDUCTOR DEVICE,,3,3
1N4731,SEMICONDUCTOR DEVICE DI,,15,15
838821-401,SENSOR,,1,1
871426-1,SENSORSHUTTER,,3,3
SET UP,SET UP CHARGE,,3,3
148284,SHAFT,,18,18
148602,SHAFT,,23,23
156314,SHAFT,,6,6
808144-3,SHAFT,,3,3
809275-3,SHAFT,1872725,8,8
812283-12,SHAFT,,1,1
812283-13,SHAFT,,1,1
812283-14,SHAFT,,12,12
815748-7,SHAFT,,46,46
817621-59,SHAFT,1894237,10,10
827641-5,SHAFT,,2,2
831297-1,SHAFT,,37,37
831305-3,SHAFT,,14,14
831642-3,SHAFT,,1,1
811109-401,SHAFT A,,3,3
811474-401,SHAFT A,,4,4
135862-401,SHAFT ASSY,,2,2
107-175-3,SHAFT ROTOR ASSY,,1,1
148592,SHAFT-IDLER,,51,51
298-M-000-003,SHAVING KIT,,2,2
810781-401,SHEAR PANEL,,5,5
7IN SHEEVE,SHEEVE,,1,1
827466-404A,SHEHORN,,2,2
73-2477-3,SHIELD,120028,41,41,,A120028,,
745171-1,SHIELD,,65,65
M83519/2-9,SHIELD,,4,4
LS3850-2-2,SHIELD ASSY,C20734-1,49,49
748676-1,SHIELD ELECTRICAL CONNECTOR,,16,16
140952,SHIM,,97,97
808738-3,SHIM,,34,34
809032-3,SHIM,,6,6
813518-6,SHIM,,10,10
813518-8,SHIM,,10,10
886-121,SHIM,,35,35
811540-27,SHIM BRASS,,3,3
146971,SHIM SCRAP,,35,35
300514-1,SHROUD,,2,2
73-2489-2,SHROUD,3060607-0001,48,48,,120127,,,,HS4164-4 REV D,,
809722-402,SHROUD,,2,2
809723-402,SHROUD,1872209,2,2
812107-13,SHROUD,,1,1
812295-17,SHROUD,,8,8
812295-25,SHROUD,,1,1
812295-45A,SHROUD,,5,5
814900-7,SHROUD,,1,1
815151-6A,SHROUD,,5,5
818583-1C,SHROUD,,19,19
819335-7J,SHROUD,,1,1
827147-3V,SHROUD,,5,5
827147-4V,SHROUD,,5,5
827148-8,SHROUD,,5,5
827766-4,SHROUD,,7,7
828803-22A,SHROUD,,4,4
835221-19B,SHROUD,,20,20
835221-20B,SHROUDOUTER,,3,3
436860-7,SHUNT,,17,17
829691-27,SIDE PAD,,10,10
822586-405D,SIDE PANEL,,4,4
120-013-3A,SLEEVE,,34,34
156392,SLEEVE,,5,5
4846-304,SLEEVE,,6,6
AS3220W12,SLEEVE,,12,12
M85069/5N12B,SLEEVE,,100,100
M85069/9N12B,SLEEVE,,50,50
S200-4-01-100HN,SLEEVE,,100,100
833519-5,SLID,,4,4
C2907-16,SLIDE,,1,1
C301-12,SLIDE,,2,2
807041-201,SLIDE A,,5,5
807041-202,SLIDE A,,5,5
822583-7,SLIDEB,,1,1
822583-8,SLIDEB,,1,1
812526-401,SNAP,,62,62
812526-404,SNAP,,6,6
51001,SNAP PLUG,,6,6
MHS4424-1C,SNAP RING,,1,1
12-240 SOCKET,SOCKET,,5,5
DBU25S,SOCKET,,85,85
M39029/32-260,SOCKET,,4,4
M39029/44-289,SOCKET,,25,25
PCS020SMU-12,SOCKET,,87,87
PEN.2F.319.XLM,SOCKET,,4,4
RSL116063-S,SOCKET,M12883/41-06S,2,2
RSN116110,SOCKET,,3,3
TJM122705,SOCKET,M81714/1-DC1,2,2,,M81714/1-DC1,,
RSE116166,SOCKET ASSEMBLY,C2063-55,74,74,,C2063-55X,,
TC610,SOCKET CIGARETTE LIGHTER,,1,1
SJM020100,SOCKET JUNCTION MODULE,M81714/60-20-01,6,6
SJT502404,SOCKET JUNCTION MODULE,M81714/67-02,121,121,,M81714/67-02,,
SJT505404,SOCKET JUNCTION MODULE,M81714/67-05,3,3,,M81714/67-05,,
8080-1G7,SOCKET POWER,,8,8
M12883/55-02S,SOCKET RELAY,,1,1
COOLTOUCHSOLDERTOL,SOLDERING TOOL,,3,3
A-43,SOLENOID,,2,2
A420-062894-01,SOLENOID,60B80061-2,141,141
A420-062894-08,SOLENOID,60B80061-8,3,3
A420-063432-01,SOLENOID,60B80061-4,2,2
A420-060283-01,SOLENOID ELECTRICAL,10-3087-2,32,32,,5945-01-027-2258,,
A420-060283-05,SOLENOID-LOCK,10-3087-5,13,13
140162-1,SPACER,,44,44
146161,SPACER,C82-3104,56,56
146261,SPACER,,62,62
148272,SPACER,,11,11
150542-1,SPACER,,17,17
809441-3,SPACER,1520163,1,1
809442-3,SPACER,,6,6
809445-3,SPACER,,1,1
815807-7,SPACER,,5,5
820364-9,SPACER,,2,2
821599-3,SPACER,,34,34
824112-3,SPACER,,10,10
827318-3,SPACER,1887465,1,1
827622-3,SPACER,1887472,4,4
835981-1,SPACER,,1,1
836133-1,SPACER,,3,3
KS581,SPACER,,96,96
NAS42DD4-22,SPACER,,32,32
SKB6876,SPACER,1809084,19,19
WA5499-890-600,SPACER,,13,13
145374,SPACER-DRAIN,,1,1
D-436-59,SPLICE,,25,25
D-440-0122,SPLICE,,451,451
TJS320702,SPLICE,M81714/12-20D-2,3,3,,M81714/12-20D-2,,
324989,SPLICE CONDUCTOR,,1,1
53548-1,SPLICE CONDUCTOR,M7928/6-3,4,4
YRV6CV8C-L,SPLICE CONNECTOR,,1,1
D-436-0127,SPLICE KIT,D436-0127,5,5
TJSE22702,SPLICE WIRE,5961-01-555-3005,1,1
YSV1418,SPLICECONDUCTOR,,90,90
147785,SPRAY RING,,1,1
145755-1,SPRAY TUBE,1895015,8,8
827398-7,SPREADER,89SP3780,14,14
149182,SPRING,,45,45
3-94306,SPRING,,2,2
30536-01,SPRING,,2,2
43-13-1-24,SPRING,,10,10
801878,SPRING,1820460,3,3
802479,SPRING,5360-01-160-4102,1,1
804951-3,SPRING,1879772,64,64
809775-5,SPRING,,1,1
811643-1,SPRING,,8,8
815154-6,SPRING,,19,19
815154-8,SPRING,,5,5
815731-3,SPRING,,42,42
817619-35,SPRING,,15,15
E1/2X.057X14.30,SPRING,,27,27
MS24585-1283,SPRING,,92,92
PS35,SPRING,,16,16
30-15,SPST SWITCH,,8,8
8288,STANDOFF,,10,10
NAS1831C3B08,STANDOFF THREADED,,24,24
P4-700001,STD ACTUATOR ASSY,HS5663-2,378,378,,5930-01-456-1411,,
817630-401,STEP PL,,2,2
S32929-3003,STEPSEAL,,45,45
803403-3,STOP,,10,10
808818-3,STOP,,24,24
811531-7,STOP,,6,6
812173-18,STOP,,3,3
812235-23,STOP,,15,15
812246-113,STOP,,6,6
812464-3,STOP,,1,1
812464-4,STOP,,3,3
812509-3,STOP,,2,2
813173-1,STOP,,1,1
813206-4,STOP,,2,2
813329-1,STOP,,13,13
814436-1,STOP,,3,3
814750-13,STOP,,3,3
815698-3,STOP,,5,5
819224-3,STOP,,5,5
807252-3,STOP END ,89TR3780,1,1
814436-2,STOP HINGE,,37,37
M85049/31-14W,STRAIN RELIEF,,15,15
M85049/38-11W,STRAIN RELIEF,,15,15
M85049/38-15W,STRAIN RELIEF,,22,22
M85049/39-9W,STRAIN RELIEF,,108,108
837933-201,STRAP,1830348,6,6
837335-403,STRAP ASSY,,1,1
802766,STRIP,5365-01-032-0951,5,5
812456-3,STRIP,,5,5
812551-1,STRIP,,2,2
MS25227-4A,STRIP,,16,16
NAS1063C16,STRIP,NAS1063C16 BLANK,240,240,,C1063,,
NAS1063E8,STRIP,NAS1063E8 BLANK,99,99,,E1063,,
837099-7001,STRIP GRAPHIC,,6,6
808788-5,STRUT,,4,4
808102-401,STRUT A,,1,1
148532,STUD,,14,14
148542,STUD,,1,1
817844-3,STUD,,24,24
AN156828,STUD,,7,7
KS106A003,STUD,KS106-A003,53,53
SV4P-1,STUD ASSY,,6,6
149962-1,STUD PLATE,1894996,10,10
145204-1,STUD RINGS,,5,5
JX-220,SUBMINIATURE ACTUATOR,,45,45
P7-311122,SUBMINIATURE PUSHBUTTON,M8805/110-3112,39,39,,M8805/110-3112,,
148402,SUPPORT,,7,7
148774,SUPPORT,,4,4
801574-3,SUPPORT,,1,1
827241-1,SUPPORT,,2,2
827241-2,SUPPORT,,4,4
156152,SUPPORT FIL,,90,90
01-748230,SWITCH,,3,3
05001-04N,SWITCH,,8,8
100220,SWITCH,MS25100-22,2,2,,266-3029-000,,
101TL1-3,SWITCH,MS27722-23,2,2,,5930-00-179-1214,,
102TL1-10,SWITCH,MS27723-1,1,1,,5930-01-226-3268,,
102TL1-10P,SWITCH,MS27782-1P,1,1
102TL1-2D,SWITCH,MS27782-22D,3,3
102TL2-10N,SWITCH,MS27788-1N,23,23
102TL200-1,SWITCH,5930-01-164-8252,7,7,,C10983-1,,,,85TV1116-1,,
102TL2887-3D,SWITCH,5M2880-023D,2,2,,,,
103FW41-R1,SWITCH,5930-01-120-1718,2,2,,5930-01-246-7818,,,,1395AS243,,
104TL1-12L,SWITCH,MS27783-1L,1,1,,5930-01-353-5453,,
10EF1,SWITCH,5008214000,3,3
10EF10,SWITCH,5008215000,3,3,,10HF10,,
10EF3,SWITCH,,2,2
10HA1C1,SWITCH,,8,8
10HF1,SWITCH,M22885/11-01,1,1
10HM1-3,SWITCH,V5D10028-01,2,2,,12110300-01,,
1101-BK,SWITCH,,86,86
112TW1-3,SWITCH,,5,5
11AT56,SWITCH,,1,1
11P47TL,SWITCH,,55,55
11SM3-T,SWITCH,ES1732,43,43,,5930-00-548-8338,,,,5930-00-168-9146,,,,5930-00-453-1866,,,,5930-00-567-1206,,,,5930-00-820-9799,,
124EN186-6,SWITCH,5930-00-114-8844,3,3,,5M1020-30,,
12TW1-12L,SWITCH,MS27754-34L,5,5,,5930-01-226-0440,,
12TW1-12M,SWITCH,MS27754-34M,1,1,,5930-00-146-9451,,
12TW1-5,SWITCH,MS27719-31-1,13,13,,5930-01-226-0456,,
12TW1-50M,SWITCH,MS27754-39M,8,8,,5930-01-263-5018,,
1571927-9,SWITCH,,245,245
15PA90-4Y,SWITCH,5930-01-165-8895,3,3
16-504,SWITCH,5930-01-052-7295,5,5
1740-12,SWITCH,,1,1
1EN296-6,SWITCH,C91-3410,10,10,,5930-01-482-3906,,
1HA7,SWITCH,,1,1
1HS103,SWITCH,5930-00-857-5056,8,8,,,,
1NT1-7,SWITCH,5930-01-544-2169,3,3
1TL1-1,SWITCH,MS24523-21,2,2,,5930-00-681-4727,,
1TL1-1A,SWITCH,MS24658-21A,3,3,,5930-00-990-1475,,
1TL1-3F,SWITCH,MS24658-23F,5,5,,C41-8126,,,,5930-00-823-2059,,
1TL1-3G,SWITCH,MS24658-23G,9,9,,5930-00-961-7984,,
1TP12-2,SWITCH,5930-00-448-2226,9,9,,5930-01-247-1723,,
1TP16-7,SWITCH,5930-01-067-2538,2,2
1TW2-3,SWITCH,,8,8
201138-401,SWITCH,,3,3
21EN262-6,SWITCH,,3,3
21SM284,SWITCH,MS25085-1,20,20,,416112-0001,,,,218-001098-00,,,,5930-00-646-4619,,
232AT93,SWITCH,5930-01-286-6627,11,11,,,,
23AT3-T2,SWITCH,,1,1
25ET24-S,SWITCH,5930-01-253-3969,36,36
26ET41-T,SWITCH,740565-101,4,4,,5930-00-401-6738,,
26ET86-2-G,SWITCH,5M1031-4,2,2,,5930-01-126-4795,,
26ET96-R1-G,SWITCH,5M1031-8,8,8,,,,
27ET70-T,SWITCH,ST5M1261-002,17,17,,5930-01-149-7005,,
2986-196,SWITCH,5930-01-509-2560,1,1
2PB11-T2,SWITCH,65700-90032-101,1,1,,266-9777-010,,,,5930-01-523-8332,,
2PB15-H58,SWITCH,,5,5
2TL1-10,SWITCH,MS27407-4,9,9,,5930-00-445-9274,,
2TL1-12,SWITCH,MS27407-1,4,4,,5930-00-789-6024,,
2TL1-2D,SWITCH,MS24659-22D,2,2,,5930-00-878-6734,,
2TL1-3G,SWITCH,MS24659-23G,137,137,,5930-00-856-1654,,,,C41-8136,,,,16-0005,,
2TP216-7,SWITCH,,5,5
2V9,SWITCH,,2,2
30-17 BLACK,SWITCH,5930-00-998-4642,11,11,,30-17 BLK,,,,30-17BLK,,
32302,SWITCH,MS25002-2,20,20,,538083-0002,,
32EN21-4,SWITCH,,2,2
364-21306-007,SWITCH,,11,11
402EN507-R,SWITCH,13543481,51,51,,,,
404EN240-RB,SWITCH,1159SCAV515-001,49,49,,,,
40T00615-WXXX102,SWITCH,,4,4
4538-180,SWITCH,216-0035-810,1,1
4B2BRL,SWITCH,,4,4
4PB11-T2,SWITCH,C41-8142,55,55,,5930-00-913-2639,,,,212-075208-001,,,,212-075-208-1,,
4TL1-6F,SWITCH,MS24660-30F,3,3,,5930-01-259-0466,,
4TL187-12,SWITCH,,5,5
4TP1-1,SWITCH,5930-01-157-2221,1,1
4TP1-10,SWITCH,5930-01-219-8146,2,2
50MY24163,SWITCH,5930-01-126-2870,4,4
584-10C5F4L5N1(G)P2112,SWITCH,,7,7
584-10C5F4L5N1(G)P2113,SWITCH,,7,7
58400A1B2C2D1F4L12N2(DA)P1216,SWITCH,,2,2
58410A1B5C1F4L12N2(DG)P1116,SWITCH,,7,7
5SE1,SWITCH,5930-01-110-3322,6,6
602EN537-1B,SWITCH,5930-01-113-1347,1,1,,11292794-3,,
602EN601-6,SWITCH,C91-3411,46,46,,,,
602EN602-6,SWITCH,5930-01-229-1154,115,115,,,,
622EN28-6,SWITCH,,5,5
64AT9-1,SWITCH,5930-00-470-2867,8,8,,,,
6HM1-1,SWITCH,5930-00-946-5727,3,3,,P8805-024-01,,
6PA31,SWITCH,9538798,37,37,,,,
6PA32,SWITCH,V5D10043-01,5,5,,5930-00-783-2167,,
7320K13,SWITCH,,4,4
800-8-A1C2D2M1N2,SWITCH,,5,5
800-8-A1C2D4M1N2,SWITCH,,4,4
800-8-A1C2E2M1N2,SWITCH,,16,16
800-8-A1C2E4M1N2,SWITCH,,5,5
800-820-1,SWITCH,801-820-1,8,8
8008A1C1D4,SWITCH,,3,3
8008A2C1,SWITCH,,4,4
8008A2C1J3L4M1N1(Y)P12-14,SWITCH,REV: N,4,4,,801252-0029,,,,801252-0030,,,,801252-0031,,
800A1C1D2,SWITCH,,24,24
800A1C1D4M2,SWITCH,,3,3
800A2C1,SWITCH,,1,1
800A2C2L2N2(WW),SWITCH,,3,3
8132K21E7T52,SWITCH,880052-503,20,20,,880052-531,,,,880052-501,,
8142K21E7T50,SWITCH,880052-535,54,54
8142K21E7V50,SWITCH,880052-131,189,189,,880052-133,,,,880052-135,,,,880052-137,,,,880052-139,,,,880052-141,,,,880052-143,,,,880052-145,,,,880052-147,,
8162K22E13M52,SWITCH,880052-523,84,84,,880052-521,,,,228734,,
8162K22E13V52,SWITCH,880052-121,73,73,,880052-123,,
820-8-A1C2D4M1,SWITCH,,1,1
8208A1C1D2L2M2N2(RW)18,SWITCH,,3,3
8208A1C2D2L2M2N2(RW)18,SWITCH,,5,5
820H-RHW0101-4,SWITCH,M22885/80-K,1,1
820H20A2C2L202M1N1(C),SWITCH,M22885/80-JEK,2,2
821912-9A,SWITCH,,6,6
8373K108,SWITCH,266-9776-010,7,7
8442K3,SWITCH,837-0001-010,3,3
8573K6-20,SWITCH,MS27787-23D,36,36
8574K7-20,SWITCH,MS27788-23G,36,36
8574K75-16,SWITCH,MS27782-1M,4,4
8811K17,SWITCH,MS35058-30,9,9
8844K8,SWITCH,MS24613-M312,6,6
8856K513,SWITCH,MS21347-C221,5,5
8866K54,SWITCH,MS24655-231W,88,88
8869K2,SWITCH,MS90311-271,41,41,,C91-0080,,,,418396-271,,,,5930-00-931-9710,,,,218-101077-03,,,,218-101077-031,,
8906K1332,SWITCH,369A4581,27,27
8906K2875,SWITCH,228760,30,30
8906K4212,SWITCH,DA250A0697-1,1,1
8906K4490,SWITCH,,26,26
8906K5508,SWITCH,,29,29
8916K807,SWITCH,,3,3
8916K893,SWITCH,,2,2
8916K927,SWITCH,C20271-5,1,1
8940K1706,SWITCH,,2,2
8951K547MOD,SWITCH,,27,27
90C1A3C4,SWITCH,,1,1
90E561,SWITCH,90E598-2,1,1
90E562,SWITCH,,4,4
90HL3,SWITCH,,4,4
90K615,SWITCH,,14,14
90KA1C2D4,SWITCH,,2,2
90KA1C3D1,SWITCH,,1,1
90KA1C3D3,SWITCH,,49,49
90KA1C5D3,SWITCH,,8,8
90KA1D2H1,SWITCH,,1,1
90KA1D3,SWITCH,,9,9
A126M1D9AG-M8,SWITCH,M83731/15-261,1,1
A192-100005-02,SWITCH,,1,1
A20308AM1,SWITCH,,2,2
A210-050005-00,SWITCH,,1,1
A218-000942-02,SWITCH,5930-00-778-0639,42,42
A218-067551-04,SWITCH,STD944-18,1,1,,STD944-29,,
A218-100646-03,SWITCH,A218-100646-02,2,2
A218-100646-04,SWITCH,212-075-265-001,37,37,,5930-00-522-6866,,,,212-075-265-1,,,,X646A,,,,206-810-010,,
A218-101042-00,SWITCH,X-1042,2,2,,5930-00-758-0335,,
A218-101070-00,SWITCH,5930-00-126-6670,2,2
A218-101117-00,SWITCH,NO LONGER QPL MS27708-3,11,11,,801354,,
A218-101117-05,SWITCH,MS27708-4,405,405,,5930P050397F,,,,5930-01-417-3767,,,,801353,,
A218-101147-00,SWITCH,,9,9
A218-101148-00,SWITCH,,1,1
A218-101154-00,SWITCH,5930-01-318-6592,3,3
